session_id,check_type,result,score,details
1,LIVENESS,PASS,0.95,"{""face_detected"": true, ""blink_detected"": true, ""movement_detected"": true}"
2,FACE_MATCH,PASS,0.92,"{""similarity_score"": 0.92, ""face_quality"": 0.88}"
3,VOICE_MATCH,PASS,0.89,"{""voice_similarity"": 0.89, ""speech_quality"": 0.85}"
4,TEXT_AI_DETECTION,PASS,0.15,"{""ai_probability"": 0.15, ""human_probability"": 0.85}"
5,VISIBILITY_CHECK,PASS,0.98,"{""face_visibility"": 0.98, ""lighting_quality"": 0.95}"
6,DEVTOOLS_CHECK,PASS,0.99,"{""devtools_detected"": false, ""browser_clean"": true}"
7,LIVENESS,FAIL,0.25,"{""face_detected"": false, ""blink_detected"": false, ""movement_detected"": false}"
8,FACE_MATCH,FAIL,0.15,"{""similarity_score"": 0.15, ""face_quality"": 0.12}"
9,VOICE_MATCH,FAIL,0.20,"{""voice_similarity"": 0.20, ""speech_quality"": 0.18}"
10,TEXT_AI_DETECTION,FAIL,0.95,"{""ai_probability"": 0.95, ""human_probability"": 0.05}"
11,VISIBILITY_CHECK,FAIL,0.30,"{""face_visibility"": 0.30, ""lighting_quality"": 0.25}"
12,DEVTOOLS_CHECK,FAIL,0.10,"{""devtools_detected"": true, ""browser_clean"": false}"
13,LIVENESS,REVIEW,0.65,"{""face_detected"": true, ""blink_detected"": false, ""movement_detected"": true}"
14,FACE_MATCH,REVIEW,0.55,"{""similarity_score"": 0.55, ""face_quality"": 0.60}"
15,VOICE_MATCH,REVIEW,0.58,"{""voice_similarity"": 0.58, ""speech_quality"": 0.62}"
16,TEXT_AI_DETECTION,REVIEW,0.65,"{""ai_probability"": 0.65, ""human_probability"": 0.35}"
17,VISIBILITY_CHECK,REVIEW,0.55,"{""face_visibility"": 0.55, ""lighting_quality"": 0.50}"
18,DEVTOOLS_CHECK,REVIEW,0.45,"{""devtools_detected"": false, ""browser_clean"": true}"
19,LIVENESS,PASS,0.92,"{""face_detected"": true, ""blink_detected"": true, ""movement_detected"": true}"
20,FACE_MATCH,PASS,0.88,"{""similarity_score"": 0.88, ""face_quality"": 0.85}"
21,VOICE_MATCH,PASS,0.91,"{""voice_similarity"": 0.91, ""speech_quality"": 0.88}"
22,TEXT_AI_DETECTION,PASS,0.20,"{""ai_probability"": 0.20, ""human_probability"": 0.80}"
23,VISIBILITY_CHECK,PASS,0.95,"{""face_visibility"": 0.95, ""lighting_quality"": 0.92}"
24,DEVTOOLS_CHECK,PASS,0.98,"{""devtools_detected"": false, ""browser_clean"": true}"
25,LIVENESS,FAIL,0.18,"{""face_detected"": false, ""blink_detected"": false, ""movement_detected"": false}"
26,FACE_MATCH,FAIL,0.12,"{""similarity_score"": 0.12, ""face_quality"": 0.08}"
27,VOICE_MATCH,FAIL,0.15,"{""voice_similarity"": 0.15, ""speech_quality"": 0.12}"
28,TEXT_AI_DETECTION,FAIL,0.92,"{""ai_probability"": 0.92, ""human_probability"": 0.08}"
29,VISIBILITY_CHECK,FAIL,0.25,"{""face_visibility"": 0.25, ""lighting_quality"": 0.20}"
30,DEVTOOLS_CHECK,FAIL,0.05,"{""devtools_detected"": true, ""browser_clean"": false}"
