text,ai_probability,human_probability,is_ai_generated,model_used
"Я работаю Java разработчиком уже 5 лет. Начинал с простых веб-приложений, потом перешел на микросервисы. Сейчас работаю с Spring Boot, PostgreSQL, Docker.",0.15,0.85,false,human_written
"Основные технологии: Java 11+, Spring Framework, Spring Boot, Hibernate, PostgreSQL, Redis, Docker, Kubernetes. Также работал с Apache Kafka для обработки событий.",0.20,0.80,false,human_written
"Это была система обработки платежей для банка. Нужно было обеспечить высокую доступность и безопасность. Использовали микросервисную архитектуру, репликацию данных, мониторинг.",0.18,0.82,false,human_written
"Стараюсь выслушать все стороны, понять причины конфликта. Предлагаю компромиссные решения. Если не получается, обращаюсь к тимлиду или HR.",0.12,0.88,false,human_written
"Мне нравится ваш подход к разработке, использование современных технологий. Хочу расти как специалист и участвовать в интересных проектах.",0.25,0.75,false,human_written
"Я разработчик с опытом 3 года. Работал в основном с PHP и MySQL. Знаю основы JavaScript.",0.10,0.90,false,human_written
"PHP, MySQL, HTML, CSS, немного JavaScript. Хотел бы изучить что-то новое.",0.08,0.92,false,human_written
"Делал интернет-магазин на WordPress. Было сложно настроить платежи.",0.05,0.95,false,human_written
"Не знаю, обычно не конфликтую.",0.02,0.98,false,human_written
"Нужна работа, зарплата хорошая.",0.03,0.97,false,human_written
"Меня зовут Анна, я frontend разработчик с 4 годами опыта. Специализируюсь на React, TypeScript, работала с Redux, Next.js.",0.22,0.78,false,human_written
"React, TypeScript, Redux, Next.js, Styled Components, Jest, Webpack. Также работала с GraphQL и Apollo Client.",0.28,0.72,false,human_written
"Разрабатывала админ-панель для e-commerce платформы. Нужно было обеспечить производительность при работе с большими объемами данных.",0.30,0.70,false,human_written
"Активно слушаю коллег, ищу общие точки соприкосновения. Предлагаю альтернативные решения. Важно сохранить рабочие отношения.",0.35,0.65,false,human_written
"Ваша компания известна качественными продуктами и сильной командой. Хочу развиваться в области frontend разработки.",0.40,0.60,false,human_written
"Я DevOps инженер с 6 годами опыта. Работал с AWS, Docker, Kubernetes, Terraform. Настраивал CI/CD пайплайны.",0.25,0.75,false,human_written
"AWS, Azure, Docker, Kubernetes, Terraform, Ansible, Jenkins, GitLab CI, Prometheus, Grafana. Знаю Python для автоматизации.",0.32,0.68,false,human_written
"Мигрировал монолитное приложение на микросервисы в Kubernetes. Нужно было обеспечить zero-downtime deployment.",0.38,0.62,false,human_written
"Анализирую ситуацию, ищу root cause. Предлагаю технические решения для устранения проблем. Работаю в команде.",0.42,0.58,false,human_written
"Интересные проекты, возможность работать с современными технологиями. Хочу развиваться в области cloud-native решений.",0.45,0.55,false,human_written
"Я работаю Java разработчиком уже 5 лет. Начинал с простых веб-приложений, потом перешел на микросервисы. Сейчас работаю с Spring Boot, PostgreSQL, Docker. Основные технологии: Java 11+, Spring Framework, Spring Boot, Hibernate, PostgreSQL, Redis, Docker, Kubernetes. Также работал с Apache Kafka для обработки событий.",0.85,0.15,true,gpt3.5
"Основные технологии: Java 11+, Spring Framework, Spring Boot, Hibernate, PostgreSQL, Redis, Docker, Kubernetes. Также работал с Apache Kafka для обработки событий. Это была система обработки платежей для банка. Нужно было обеспечить высокую доступность и безопасность.",0.92,0.08,true,gpt4
"Это была система обработки платежей для банка. Нужно было обеспечить высокую доступность и безопасность. Использовали микросервисную архитектуру, репликацию данных, мониторинг. Стараюсь выслушать все стороны, понять причины конфликта.",0.88,0.12,true,claude
"Стараюсь выслушать все стороны, понять причины конфликта. Предлагаю компромиссные решения. Если не получается, обращаюсь к тимлиду или HR. Мне нравится ваш подход к разработке, использование современных технологий.",0.90,0.10,true,gpt3.5
"Мне нравится ваш подход к разработке, использование современных технологий. Хочу расти как специалист и участвовать в интересных проектах. Я разработчик с опытом 3 года. Работал в основном с PHP и MySQL.",0.87,0.13,true,gpt4
"Я разработчик с опытом 3 года. Работал в основном с PHP и MySQL. Знаю основы JavaScript. PHP, MySQL, HTML, CSS, немного JavaScript. Хотел бы изучить что-то новое.",0.83,0.17,true,claude
"PHP, MySQL, HTML, CSS, немного JavaScript. Хотел бы изучить что-то новое. Делал интернет-магазин на WordPress. Было сложно настроить платежи.",0.89,0.11,true,gpt3.5
"Делал интернет-магазин на WordPress. Было сложно настроить платежи. Не знаю, обычно не конфликтую. Нужна работа, зарплата хорошая.",0.91,0.09,true,gpt4
