question,expected_answer,role,grade,keywords,score_max
Что такое Garbage Collector?,Механизм автоматического управления памятью в Java.,Java Developer,Middle,GC;память;сборщик,6
Что такое SLA и зачем он нужен?,"Service Level Agreement — договор об уровне сервиса, фиксирует метрики и ответственность.",IT Specialist,Team Lead,SLA;сервис;метрики;договор,6
Что такое SLA и зачем он нужен?,"Service Level Agreement — договор об уровне сервиса, фиксирует метрики и ответственность.",IT Specialist,Team Lead,SLA;сервис;метрики;договор,9
Что такое полиморфизм в Java?,"Способность объекта принимать разные формы, перегрузка/переопределение методов.",Java Developer,Team Lead,полиморфизм;перегрузка;переопределение,7
Что такое SLA и зачем он нужен?,"Service Level Agreement — договор об уровне сервиса, фиксирует метрики и ответственность.",IT Specialist,Senior,SLA;сервис;метрики;договор,6
Что такое Garbage Collector?,Механизм автоматического управления памятью в Java.,Java Developer,Junior,GC;память;сборщик,9
Что такое полиморфизм в Java?,"Способность объекта принимать разные формы, перегрузка/переопределение методов.",Java Developer,Junior,полиморфизм;перегрузка;переопределение,9
Как рассчитывается ROI в бизнес-анализе?,"Отношение выгоды к затратам, ROI = (Доход – Затраты) / Затраты * 100%.",Business Analyst,Middle,ROI;затраты;доход;формула,5
Как рассчитывается ROI в бизнес-анализе?,"Отношение выгоды к затратам, ROI = (Доход – Затраты) / Затраты * 100%.",Business Analyst,Junior,ROI;затраты;доход;формула,9
Что такое SLA и зачем он нужен?,"Service Level Agreement — договор об уровне сервиса, фиксирует метрики и ответственность.",IT Specialist,Team Lead,SLA;сервис;метрики;договор,10
Что такое VPN и зачем он используется?,Virtual Private Network — безопасный туннель для передачи данных через интернет.,IT Specialist,Middle,VPN;шифрование;безопасность,7
Что такое BPMN и зачем его используют?,Business Process Model and Notation — стандарт для описания бизнес-процессов.,Business Analyst,Middle,BPMN;процессы;моделирование,7
Опишите разницу между use case и user story.,"Use case описывает взаимодействие с системой, user story — краткий сценарий от лица пользователя.",Business Analyst,Team Lead,use case;user story;разница,9
Что такое полиморфизм в Java?,"Способность объекта принимать разные формы, перегрузка/переопределение методов.",Java Developer,Senior,полиморфизм;перегрузка;переопределение,10
Что такое SLA и зачем он нужен?,"Service Level Agreement — договор об уровне сервиса, фиксирует метрики и ответственность.",IT Specialist,Junior,SLA;сервис;метрики;договор,7
Опишите разницу между use case и user story.,"Use case описывает взаимодействие с системой, user story — краткий сценарий от лица пользователя.",Business Analyst,Senior,use case;user story;разница,5
Что такое Garbage Collector?,Механизм автоматического управления памятью в Java.,Java Developer,Team Lead,GC;память;сборщик,7
Что такое BPMN и зачем его используют?,Business Process Model and Notation — стандарт для описания бизнес-процессов.,Business Analyst,Senior,BPMN;процессы;моделирование,6
Что такое BPMN и зачем его используют?,Business Process Model and Notation — стандарт для описания бизнес-процессов.,Business Analyst,Middle,BPMN;процессы;моделирование,9
Что такое полиморфизм в Java?,"Способность объекта принимать разные формы, перегрузка/переопределение методов.",Java Developer,Junior,полиморфизм;перегрузка;переопределение,9
Опишите разницу между use case и user story.,"Use case описывает взаимодействие с системой, user story — краткий сценарий от лица пользователя.",Business Analyst,Team Lead,use case;user story;разница,7
Что такое VPN и зачем он используется?,Virtual Private Network — безопасный туннель для передачи данных через интернет.,IT Specialist,Middle,VPN;шифрование;безопасность,8
Опишите разницу между use case и user story.,"Use case описывает взаимодействие с системой, user story — краткий сценарий от лица пользователя.",Business Analyst,Junior,use case;user story;разница,6
Как рассчитывается ROI в бизнес-анализе?,"Отношение выгоды к затратам, ROI = (Доход – Затраты) / Затраты * 100%.",Business Analyst,Middle,ROI;затраты;доход;формула,6
Что такое полиморфизм в Java?,"Способность объекта принимать разные формы, перегрузка/переопределение методов.",Java Developer,Middle,полиморфизм;перегрузка;переопределение,8
Опишите разницу между use case и user story.,"Use case описывает взаимодействие с системой, user story — краткий сценарий от лица пользователя.",Business Analyst,Junior,use case;user story;разница,10
Какие коллекции в Java знаете и где применяли?,"List, Set, Map; различия по уникальности, доступу и скорости.",Java Developer,Team Lead,List;Set;Map;коллекции,10
Опишите разницу между use case и user story.,"Use case описывает взаимодействие с системой, user story — краткий сценарий от лица пользователя.",Business Analyst,Middle,use case;user story;разница,7
Что такое полиморфизм в Java?,"Способность объекта принимать разные формы, перегрузка/переопределение методов.",Java Developer,Middle,полиморфизм;перегрузка;переопределение,8
Что такое SLA и зачем он нужен?,"Service Level Agreement — договор об уровне сервиса, фиксирует метрики и ответственность.",IT Specialist,Senior,SLA;сервис;метрики;договор,9
Что такое BPMN и зачем его используют?,Business Process Model and Notation — стандарт для описания бизнес-процессов.,Business Analyst,Team Lead,BPMN;процессы;моделирование,5
